Order_ID,Customer_ID,Order_Date,Customer_County,Product_Category,Order_Value_KES,Payment_Method,Delivery_Method,Courier_Partner,Package_Weight_Kg,Shipping_Fee_KES,Transit_Time_Days,Fulfillment_Status,Customer_Rating
KE-10180,CUST-5107,2025-06-26,Nakuru,Fashion & Apparel,8781.0,M-Pesa,Boda Boda Last-Mile,DHL,19.28,218,2.0,Delivered,3.0
KE-10181,CUST-5065,2025-12-10,Uasin Gishu,Fashion & Apparel,15266.0,m-pesa,Smart Locker,Wells Fargo,33.56,470,2.0,Delivered,3.0
KE-10182,CUST-5068,2025-12-14,Kisumu,Health & Wellness,18577.0,Cash on Delivery,Pickup Station,Local Rider,6.96,791,1.0,Returned,1.0
KE-10183,CUST-5416,2025-10-25,Mombasa,Home & Living,18184.0,m-pesa,Smart Locker,G4S,16.32,556,1.0,Cancelled,
KE-10184,CUST-5084,2025-09-21,Uasin Gishu,Beauty,5290.0,m-pesa,Pickup Station,Sendy,9.33,361,7.0,Delayed,1.0
KE-10185,CUST-5020,2025-11-29,Nakuru,FASHION,9128.0,COD,Home Delivery,Local Rider,8.88,378,3.0,Delayed,5.0
KE-10186,CUST-5003,2025-09-14,Mombasa,Beauty,5423.0,M-Pesa,Boda Boda Last-Mile,Wells Fargo,25.24,640,5.0,Delivered,2.0
KE-10187,CUST-5022,2025-03-07,Machakos,Home & Living,5950.0,Credit/Debit Card,Home Delivery,DHL,25.51,237,5.0,Delivered,2.0
KE-10188,CUST-5425,2025-07-30,nairobi,Home & Living,24230.0,M-Pesa,Boda Boda Last-Mile,G4S,3.89,666,7.0,Delayed,5.0
KE-10189,CUST-5307,2025-01-20,Nairobi County,Beauty,-20274,COD,Smart Locker,Sendy,24.45,643,4.0,Returned,5.0
KE-10190,CUST-5050,2025-08-06,Mombasa,Electronics,18316.0,M-Pesa,Home Delivery,Local Rider,0.35,473,1.0,Delivered,3.0
KE-10191,CUST-5437,2025-10-02,Mombasa ,Groceries,14040.0,Credit/Debit Card,Smart Locker,Wells Fargo,20.26,557,7.0,Delivered,4.0
KE-10192,CUST-5400,2025-12-25,Nakuru,FASHION,20620.0,M-Pesa,Pickup Station,Chui Lockers,32.41,215,,Delayed,4.0
KE-10193,CUST-5314,2025-12-02,Uasin Gishu,Health & Wellness,-21481,Credit/Debit Card,Home Delivery,Local Rider,17.92,779,1.0,Delivered,1.0
KE-10194,CUST-5141,2025-07-24,Uasin Gishu,Electronics,2748.0,Credit/Debit Card,Smart Locker,Wells Fargo,33.72,770,4.0,Delivered,2.0
KE-10195,CUST-5208,2025-09-17,Mombasa ,Electronics,8944.0,COD,Boda Boda Last-Mile,G4S,26.54,619,5.0,Delivered,1.0
KE-10196,CUST-5195,2025-11-21,Kajiado,FASHION,-12070,Cash on Delivery,Home Delivery,Chui Lockers,23.61,227,2.0,Cancelled,3.0
KE-10197,CUST-5093,2025-12-16,Kajiado,Beauty,9196.0,Credit/Debit Card,Home Delivery,Sendy,32.21,654,7.0,Delayed,3.0
KE-10198,CUST-5317,2025-06-11,Uasin Gishu,Groceries,17248.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,32.89,505,6.0,Delivered,
KE-10199,CUST-5265,24/08/2025,Machakos,Home & Living,12348.0,m-pesa,Smart Locker,Wells Fargo,6.52,579,3.0,Delayed,2.0
KE-10200,CUST-5292,2025-03-09,Nairobi County,Health & Wellness,14662.0,m-pesa,Home Delivery,G4S,14.81,795,6.0,Delivered,5.0
KE-10201,CUST-5439,2025-10-18,nairobi,Health & Wellness,21139.0,Cash on Delivery,Smart Locker,Wells Fargo,0.79,770,5.0,Delivered,3.0
KE-10202,CUST-5166,2025-12-11,Kisumu,Groceries,15696.0,Cash on Delivery,Boda Boda Last-Mile,Sendy,2.86,471,3.0,Delayed,3.0
KE-10203,CUST-5454,2025-08-16,Kajiado,Groceries,6525.0,Cash on Delivery,Home Delivery,G4S,5.93,215,,Delayed,5.0
KE-10204,CUST-5391,2025-02-12,Nairobi County,Groceries,8606.0,Credit/Debit Card,Home Delivery,Sendy,23.26,483,4.0,Delivered,5.0
KE-10205,CUST-5227,2025-03-11,nairobi,Groceries,21335.0,Credit/Debit Card,Smart Locker,Chui Lockers,18.93,602,4.0,Delivered,5.0
KE-10206,CUST-5417,2025-03-11,Nairobi,Groceries,16132.0,Credit/Debit Card,Home Delivery,Local Rider,13.14,724,2.0,Delayed,4.0
KE-10207,CUST-5112,2025-05-15,Nakuru,Home & Living,22934.0,Cash on Delivery,Home Delivery,G4S,4.87,616,3.0,Delivered,1.0
KE-10208,CUST-5077,2025-01-26,Nairobi County,Fashion & Apparel,"KSh 24,325",M-Pesa,Boda Boda Last-Mile,G4S,12.03,660,,Delivered,2.0
KE-10209,CUST-5028,2025-05-17,Kisumu,Health & Wellness,13003.0,m-pesa,Boda Boda Last-Mile,G4S,25.84,621,1.0,Delayed,4.0
KE-10210,CUST-5348,2025-06-09,Kajiado,Home & Living,8800.0,M-Pesa,Pickup Station,Sendy,8.34,165,3.0,Delivered,1.0
KE-10211,CUST-5496,2025-01-22,Kajiado,FASHION,8650.0,M-Pesa,Pickup Station,DHL,18.82,649,5.0,Delayed,
KE-10212,CUST-5098,2025-01-11,nairobi,Electronics,14836.0,Credit/Debit Card,Smart Locker,Wells Fargo,25.66,763,5.0,Delayed,3.0
KE-10213,CUST-5419,2025-05-15,Machakos,Beauty,1113.0,Cash on Delivery,Boda Boda Last-Mile,G4S,18.39,714,3.0,Delivered,1.0
KE-10214,CUST-5267,2025-12-04,nairobi,Electronics,16404.0,COD,Smart Locker,Sendy,12.89,0,2.0,Delivered,4.0
KE-10215,CUST-5410,2025-11-24,kiambu,Health & Wellness,20715.0,Cash on Delivery,Pickup Station,Local Rider,3.49,694,2.0,Returned,2.0
KE-10216,CUST-5285,2025-10-13,Machakos,Beauty,22298.0,Credit/Debit Card,Smart Locker,DHL,5.62,603,3.0,Delivered,4.0
KE-10217,CUST-5391,2025-11-21,Uasin Gishu,Home & Living,18530.0,COD,Home Delivery,DHL,1.31,166,999.0,Delivered,2.0
KE-10218,CUST-5438,,Kajiado,Home & Living,19199.0,Cash on Delivery,Smart Locker,Wells Fargo,31.15,412,1.0,Delivered,
KE-10219,CUST-5039,2025-06-16,Kajiado,Health & Wellness,20004.0,COD,Home Delivery,Wells Fargo,12.24,576,1.0,Returned,5.0
KE-10220,CUST-5475,2025-01-06,Nairobi,Electronics,19011.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,26.37,242,3.0,Delivered,1.0
KE-10221,CUST-5243,2025-10-20,Mombasa ,Home & Living,23367.0,COD,Pickup Station,Local Rider,21.6,402,3.0,Cancelled,1.0
KE-10222,CUST-5057,2025-12-10,Mombasa,Home & Living,10488.0,COD,Boda Boda Last-Mile,Sendy,32.36,532,6.0,Delivered,2.0
KE-10223,CUST-5485,2025-11-14,,Beauty,10498.0,Credit/Debit Card,Smart Locker,Local Rider,16.96,294,999.0,Cancelled,
KE-10224,CUST-5269,2025-01-23,Mombasa,Home & Living,-15735,COD,Smart Locker,Sendy,0.77,545,4.0,Delivered,4.0
KE-10225,CUST-5443,2025-11-02,Nakuru,Home & Living,"KSh 1,204",Credit/Debit Card,Boda Boda Last-Mile,Chui Lockers,35kg,510,3.0,Cancelled,3.0
KE-10226,CUST-5415,2025-02-01,Nairobi,FASHION,11699.0,COD,Pickup Station,Chui Lockers,8.49,469,3.0,Returned,2.0
KE-10227,CUST-5297,2025-10-05,nairobi,Beauty,4931.0,Credit/Debit Card,Smart Locker,Sendy,19.55,271,7.0,Delivered,4.0
KE-10228,CUST-5492,2025-07-30,Machakos,FASHION,6658.0,Credit/Debit Card,Pickup Station,Local Rider,8.2,517,7.0,Cancelled,4.0
KE-10229,CUST-5364,2025-11-29,Kisumu,Fashion & Apparel,1556.0,COD,Pickup Station,G4S,2.41,599,4.0,Delivered,4.0
KE-10230,CUST-5207,2025-01-22,Kajiado,Home & Living,19241.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,28.96,401,,Delayed,5.0
KE-10231,CUST-5391,2025-11-19,Kisumu,FASHION,9868.0,M-Pesa,Pickup Station,Chui Lockers,29.06,662,7.0,Cancelled,2.0
KE-10232,CUST-5201,2025-07-31,Kisumu,Beauty,15399.0,m-pesa,Home Delivery,Sendy,4.08,521,6.0,Cancelled,5.0
KE-10233,CUST-5486,2025-03-23,nairobi,Home & Living,5418.0,M-Pesa,Smart Locker,DHL,26.93,791,,Delivered,1.0
KE-10234,CUST-5234,2025-09-12,Nairobi,Groceries,19795.0,Credit/Debit Card,Pickup Station,Local Rider,9.81,0,2.0,Delivered,1.0
KE-10235,CUST-5341,2025-10-23,Nairobi County,Groceries,5786.0,Credit/Debit Card,Pickup Station,Chui Lockers,26.25,186,3.0,Delivered,4.0
KE-10236,CUST-5431,2025-10-09,Nairobi County,FASHION,14058.0,M-Pesa,Home Delivery,Chui Lockers,25.37,444,7.0,Cancelled,3.0
KE-10237,CUST-5474,2025-03-08,Kajiado,Groceries,20469.0,,Home Delivery,DHL,29.7,574,3.0,Delivered,1.0
KE-10238,CUST-5327,2025-04-14,Nairobi County,Home & Living,700.0,Credit/Debit Card,Home Delivery,G4S,6.87,640,7.0,Delivered,
KE-10239,CUST-5235,2025-10-02,kiambu,Electronics,10308.0,M-Pesa,Smart Locker,Wells Fargo,2.41,181,4.0,Cancelled,5.0
KE-10240,CUST-5199,2025-04-06,Mombasa ,FASHION,9396.0,COD,Smart Locker,G4S,18.43,533,7.0,Cancelled,1.0
KE-10241,CUST-5409,2025-09-05,Kiambu,Beauty,10669.0,Credit/Debit Card,Pickup Station,G4S,25.39,684,3.0,Cancelled,1.0
KE-10242,CUST-5170,2025-08-28,Machakos,Electronics,10728.0,Cash on Delivery,Smart Locker,Chui Lockers,23.52,311,1.0,Delivered,2.0
KE-10243,CUST-5277,2025-06-29,Kajiado,Home & Living,2834.0,M-Pesa,Boda Boda Last-Mile,DHL,1.86,238,2.0,Returned,
KE-10244,CUST-5358,2025-08-17,Mombasa,Beauty,3073.0,m-pesa,Boda Boda Last-Mile,Sendy,16.0,626,2.0,Delivered,3.0
KE-10245,CUST-5200,2025-04-04,Kiambu,Electronics,4199.0,Cash on Delivery,Pickup Station,Local Rider,3.69,259,6.0,Delayed,4.0
KE-10246,CUST-5302,2025-07-31,nairobi,Groceries,7323.0,COD,Smart Locker,Local Rider,24.33,229,6.0,Cancelled,5.0
KE-10247,CUST-5237,2025-06-16,nairobi,Groceries,4063.0,Cash on Delivery,Home Delivery,Sendy,7.69,744,6.0,Returned,2.0
KE-10248,CUST-5231,2025-09-30,Kisumu,Beauty,10321.0,COD,Smart Locker,Sendy,20.44,672,2.0,Cancelled,1.0
KE-10249,CUST-5000,2025-12-27,Nairobi County,Health & Wellness,14646.0,COD,Boda Boda Last-Mile,Local Rider,7.47,292,4.0,Delayed,2.0
KE-10250,CUST-5147,10/12/2025,,Beauty,22058.0,COD,Boda Boda Last-Mile,Local Rider,6.37,715,4.0,Cancelled,1.0
KE-10251,CUST-5295,2025-09-13,Nakuru,Home & Living,1596.0,M-Pesa,Home Delivery,G4S,25.58,436,1.0,Delivered,4.0
KE-10252,CUST-5322,2025-12-06,Machakos,Home & Living,,COD,Boda Boda Last-Mile,Local Rider,25.71,451,1.0,Delivered,
KE-10253,CUST-5401,2025-10-16,Uasin Gishu,Electronics,10060.0,M-Pesa,Home Delivery,Wells Fargo,8.9,431,1.0,Cancelled,
KE-10254,CUST-5077,2025-12-04,Mombasa ,Fashion & Apparel,17781.0,m-pesa,Pickup Station,Chui Lockers,26.37,542,4.0,Cancelled,
KE-10255,CUST-5431,2025-06-26,Nairobi County,Groceries,10375.0,m-pesa,Boda Boda Last-Mile,Chui Lockers,9.27,0,7.0,Cancelled,
KE-10256,CUST-5489,2025-01-22,Kiambu,Groceries,21866.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,27.08,752,5.0,Delivered,3.0
KE-10257,CUST-5280,2025-01-06,Nairobi,Home & Living,15112.0,,Home Delivery,Sendy,32.85,372,6.0,Delivered,5.0
KE-10258,CUST-5066,2025-07-12,Uasin Gishu,Fashion & Apparel,23295.0,M-Pesa,Smart Locker,Chui Lockers,24.26,481,7.0,Delayed,4.0
KE-10259,CUST-5170,2025-01-31,nairobi,Groceries,7075.0,m-pesa,Boda Boda Last-Mile,G4S,21.53,602,1.0,Returned,3.0
KE-10260,CUST-5397,,Kisumu,electrnics,1739.0,COD,Boda Boda Last-Mile,Chui Lockers,15.32,221,1.0,Delayed,1.0
KE-10261,CUST-5290,2025-10-02,Machakos,Electronics,21703.0,M-Pesa,Smart Locker,DHL,7.19,543,3.0,Returned,
KE-10262,CUST-5183,2025-09-07,Kajiado,Electronics,24084.0,Credit/Debit Card,Boda Boda Last-Mile,Local Rider,33.78,0,1.0,Delayed,1.0
KE-10263,CUST-5108,2025-12-01,Machakos,Home & Living,19484.0,COD,Boda Boda Last-Mile,Local Rider,1.7,0,6.0,Delivered,4.0
KE-10264,CUST-5312,2025-03-29,Nairobi County,Home & Living,7727.0,COD,Pickup Station,Wells Fargo,29.29,196,3.0,Delayed,2.0
KE-10265,CUST-5356,2025-07-09,Uasin Gishu,Electronics,,COD,Home Delivery,G4S,32.42,757,4.0,Delayed,
KE-10266,CUST-5064,2025-04-16,Kisumu,Fashion & Apparel,1732.0,M-Pesa,Smart Locker,Wells Fargo,14.72,346,5.0,Cancelled,5.0
KE-10267,CUST-5112,2025-08-26,Mombasa ,Electronics,22954.0,m-pesa,Home Delivery,Sendy,22.61,595,5.0,Delivered,1.0
KE-10268,CUST-5379,2025-01-27,Nairobi,Electronics,8210.0,m-pesa,Smart Locker,G4S,27.29,250,4.0,Delivered,1.0
KE-10269,CUST-5241,2025-10-27,nairobi,Home & Living,13192.0,Cash on Delivery,Pickup Station,Wells Fargo,4.54,211,1.0,Delivered,3.0
KE-10270,CUST-5112,2025-06-01,Machakos,Fashion & Apparel,18612.0,COD,Pickup Station,Local Rider,16.62,164,6.0,Delayed,5.0
KE-10271,CUST-5113,2025-10-30,Nairobi,Electronics,15922.0,COD,Home Delivery,Chui Lockers,17.39,162,4.0,Delivered,2.0
KE-10272,CUST-5331,,Machakos,Beauty,19190.0,m-pesa,Boda Boda Last-Mile,G4S,27.67,625,1.0,Returned,3.0
KE-10273,CUST-5271,2025-01-17,Kajiado,Home & Living,7287.0,M-Pesa,Smart Locker,Sendy,3.97,0,3.0,Delivered,5.0
KE-10274,CUST-5363,2025-04-15,Nakuru,Groceries,19509.0,m-pesa,Smart Locker,Local Rider,23.84,214,4.0,Delivered,4.0
KE-10275,CUST-5363,2025-09-30,Mombasa ,FASHION,23215.0,COD,Boda Boda Last-Mile,G4S,10.16,261,1.0,Delivered,5.0
KE-10276,CUST-5487,,kiambu,Home & Living,16028.0,Cash on Delivery,Home Delivery,G4S,29.24,493,3.0,Delayed,5.0
KE-10277,CUST-5340,2025-12-23,Kisumu,Fashion & Apparel,10543.0,Cash on Delivery,Home Delivery,G4S,12.42,320,2.0,Delivered,
KE-10278,CUST-5354,2025-12-08,Nairobi County,FASHION,14947.0,M-Pesa,Smart Locker,G4S,13.11,316,1.0,Delayed,2.0
KE-10279,CUST-5485,2025-08-23,Kajiado,Home & Living,23616.0,Credit/Debit Card,Boda Boda Last-Mile,Wells Fargo,24.15,191,,Cancelled,2.0
KE-10280,CUST-5228,2025-07-02,Machakos,Home & Living,9607.0,M-Pesa,Boda Boda Last-Mile,G4S,17.22,673,6.0,Delayed,3.0
KE-10281,CUST-5197,,Kiambu,Groceries,3370.0,COD,Smart Locker,G4S,28.22,584,4.0,Delivered,2.0
KE-10282,CUST-5106,2025-06-05,Kiambu,Home & Living,"KSh 3,398",Cash on Delivery,Boda Boda Last-Mile,DHL,19.92,354,4.0,Delivered,5.0
KE-10283,CUST-5155,2025-09-10,Nairobi,Fashion & Apparel,21489.0,Cash on Delivery,Boda Boda Last-Mile,DHL,35kg,433,1.0,Delayed,5.0
KE-10284,CUST-5223,2025-05-13,Kajiado,FASHION,"KSh 19,350",Cash on Delivery,Home Delivery,G4S,11.26,288,1.0,Delivered,1.0
KE-10285,CUST-5148,2025-05-30,Nakuru,Beauty,3596.0,Cash on Delivery,Smart Locker,Wells Fargo,24.02,248,,Cancelled,3.0
KE-10286,CUST-5190,2025-09-06,nairobi,Fashion & Apparel,6674.0,Credit/Debit Card,Home Delivery,Chui Lockers,16.17,284,4.0,Delivered,4.0
KE-10287,CUST-5455,2025-11-02,nairobi,Electronics,4386.0,m-pesa,Pickup Station,G4S,34.34,264,7.0,Delivered,1.0
KE-10288,CUST-5016,2025-12-04,Nairobi County,Electronics,"KSh 22,375",M-Pesa,Pickup Station,Local Rider,31.55,0,2.0,Cancelled,3.0
KE-10289,CUST-5180,2025-03-24,Uasin Gishu,Home & Living,19444.0,Cash on Delivery,Home Delivery,DHL,3.54,666,4.0,Delayed,
KE-10290,CUST-5490,2025-02-24,kiambu,Home & Living,4197.0,Credit/Debit Card,Smart Locker,DHL,10.16,234,1.0,Returned,3.0
KE-10291,CUST-5351,2025-08-16,kiambu,Electronics,,COD,Boda Boda Last-Mile,Chui Lockers,18.34,272,4.0,Returned,2.0
KE-10292,CUST-5033,2025-07-06,Uasin Gishu,Groceries,14416.0,Credit/Debit Card,Boda Boda Last-Mile,Wells Fargo,16.71,564,5.0,Delivered,1.0
KE-10293,CUST-5128,2025-09-08,,Beauty,2735.0,Credit/Debit Card,Pickup Station,Wells Fargo,21.81,228,5.0,Delivered,3.0
KE-10294,CUST-5338,2025-09-12,Kiambu,Home & Living,1535.0,COD,Boda Boda Last-Mile,Chui Lockers,16.14,720,7.0,Delayed,4.0
KE-10295,CUST-5068,2025-06-09,Nairobi County,Groceries,22958.0,m-pesa,Boda Boda Last-Mile,Wells Fargo,17.36,781,7.0,Delivered,5.0
KE-10296,CUST-5023,2025-03-07,Kajiado,Health & Wellness,11682.0,COD,Pickup Station,G4S,8.29,236,1.0,Delivered,1.0
KE-10297,CUST-5275,,Machakos,Home & Living,14300.0,Cash on Delivery,Boda Boda Last-Mile,Wells Fargo,20.08,252,2.0,Returned,3.0
KE-10298,CUST-5085,2025-11-11,Mombasa,Health & Wellness,2968.0,M-Pesa,Boda Boda Last-Mile,G4S,21.9,742,3.0,Cancelled,4.0
KE-10299,CUST-5218,2025-04-18,Mombasa ,FASHION,18193.0,Credit/Debit Card,Pickup Station,Sendy,22.01,341,2.0,Delayed,3.0
KE-10300,CUST-5479,2025-11-23,kiambu,Beauty,17613.0,Cash on Delivery,Boda Boda Last-Mile,Wells Fargo,30.12,799,4.0,Delivered,3.0
KE-10301,CUST-5351,2025-11-04,nairobi,Fashion & Apparel,10675.0,M-Pesa,Smart Locker,G4S,1.12,434,2.0,Returned,4.0
KE-10302,CUST-5400,2025-01-11,Kiambu,Health & Wellness,13836.0,COD,Pickup Station,G4S,4.01,273,7.0,Cancelled,3.0
KE-10303,CUST-5254,2025-02-16,Kiambu,Home & Living,24878.0,m-pesa,Smart Locker,Chui Lockers,14.35,207,3.0,Cancelled,4.0
KE-10304,CUST-5243,2025-12-16,nairobi,Beauty,"KSh 10,598",,Home Delivery,DHL,32.12,409,3.0,Returned,1.0
KE-10305,CUST-5273,2025-05-02,kiambu,FASHION,8215.0,COD,Boda Boda Last-Mile,Sendy,9.66,653,4.0,Delayed,1.0
KE-10306,CUST-5422,2025-03-24,Kiambu,Beauty,24675.0,m-pesa,Pickup Station,Sendy,14.08,471,1.0,Returned,2.0
KE-10307,CUST-5433,2025-11-01,Kiambu,Health & Wellness,9041.0,Cash on Delivery,Boda Boda Last-Mile,Wells Fargo,6.45,734,1.0,Returned,2.0
KE-10308,CUST-5464,2025-02-15,Kajiado,Electronics,14554.0,m-pesa,Home Delivery,Sendy,25.18,614,4.0,Delivered,3.0
KE-10309,CUST-5147,2025-09-11,Mombasa,Health & Wellness,22690.0,M-Pesa,Smart Locker,G4S,21.66,528,,Delivered,3.0
KE-10310,CUST-5498,2025-12-21,kiambu,Beauty,2893.0,m-pesa,Smart Locker,Local Rider,32.88,762,7.0,Cancelled,4.0
KE-10311,CUST-5154,2025-07-22,Nakuru,Fashion & Apparel,17006.0,M-Pesa,Boda Boda Last-Mile,G4S,9.19,280,7.0,Delayed,3.0
KE-10311,CUST-5462,2025-05-15,Mombasa ,Groceries,10839.0,Credit/Debit Card,Boda Boda Last-Mile,Sendy,6.69,0,3.0,Delivered,4.0
KE-10313,CUST-5020,2025-08-15,Kisumu,Electronics,5351.0,m-pesa,Smart Locker,Local Rider,31.19,747,1.0,Delayed,1.0
KE-10314,CUST-5126,2025-09-13,Nairobi,Beauty,12740.0,,Boda Boda Last-Mile,DHL,23.12,425,1.0,Cancelled,4.0
KE-10315,CUST-5166,2025-10-19,Machakos,Health & Wellness,2817.0,Cash on Delivery,Boda Boda Last-Mile,Sendy,0.82,547,3.0,Delivered,1.0
KE-10316,CUST-5152,2025-09-09,Mombasa ,Home & Living,22307.0,COD,Boda Boda Last-Mile,Wells Fargo,19.75,582,5.0,Delivered,1.0
KE-10317,CUST-5262,2025-06-24,Machakos,Fashion & Apparel,17777.0,COD,Boda Boda Last-Mile,Wells Fargo,5.29,457,5.0,Cancelled,1.0
KE-10318,CUST-5469,2025-01-24,kiambu,Beauty,8802.0,M-Pesa,Boda Boda Last-Mile,G4S,27.54,196,6.0,Delayed,
KE-10319,CUST-5230,2025-11-16,nairobi,Electronics,20293.0,,Home Delivery,Sendy,6.09,564,6.0,Cancelled,5.0
KE-10320,CUST-5184,2025-12-20,kiambu,Electronics,954.0,m-pesa,Pickup Station,Chui Lockers,22.74,596,7.0,Delivered,4.0
KE-10321,CUST-5075,2025-08-31,nairobi,Groceries,"KSh 15,949",COD,Pickup Station,Wells Fargo,19.97,202,1.0,Delayed,4.0
KE-10322,CUST-5377,2025-10-24,Mombasa ,Groceries,19867.0,COD,Home Delivery,Local Rider,0.76,716,6.0,Delayed,5.0
KE-10323,CUST-5480,2025-11-27,Nairobi,Beauty,11767.0,Cash on Delivery,Boda Boda Last-Mile,G4S,30.92,549,7.0,Delivered,4.0
KE-10324,CUST-5409,2025-03-24,Kajiado,Groceries,7036.0,COD,Pickup Station,Local Rider,35kg,417,2.0,Cancelled,1.0
KE-10325,CUST-5413,2025-02-02,Mombasa,Fashion & Apparel,11651.0,Credit/Debit Card,Pickup Station,DHL,30.59,256,4.0,Delivered,1.0
KE-10326,CUST-5400,2025-11-09,Nairobi County,Electronics,5973.0,m-pesa,Boda Boda Last-Mile,Local Rider,17.49,307,3.0,Delivered,4.0
KE-10327,CUST-5496,01/08/2025,Kisumu,Home & Living,9216.0,m-pesa,Boda Boda Last-Mile,G4S,4.92,569,7.0,Delivered,4.0
KE-10328,CUST-5074,2025-01-06,Nairobi County,FASHION,5884.0,m-pesa,Home Delivery,DHL,34.3,682,4.0,Cancelled,3.0
KE-10329,CUST-5369,10/06/2025,Mombasa ,Home & Living,23447.0,Credit/Debit Card,Boda Boda Last-Mile,DHL,12.15,564,3.0,Delayed,
KE-10330,CUST-5368,2025-03-06,Mombasa,Home & Living,,Credit/Debit Card,Pickup Station,Wells Fargo,25.46,263,7.0,Delivered,1.0
KE-10331,CUST-5024,2025-11-30,Uasin Gishu,Groceries,8236.0,Credit/Debit Card,Pickup Station,Wells Fargo,10.54,736,6.0,Delivered,3.0
KE-10332,CUST-5264,2025-10-26,Kisumu,Beauty,14002.0,COD,Home Delivery,Wells Fargo,23.72,722,4.0,Returned,4.0
KE-10333,CUST-5225,2025-12-19,kiambu,Fashion & Apparel,16384.0,Credit/Debit Card,Pickup Station,Chui Lockers,16.62,722,1.0,Delivered,3.0
KE-10334,CUST-5292,2025-05-29,Kiambu,FASHION,"KSh 16,422",m-pesa,Boda Boda Last-Mile,Sendy,32.8,440,,Cancelled,3.0
KE-10335,CUST-5034,2025-01-23,Uasin Gishu,FASHION,16072.0,m-pesa,Boda Boda Last-Mile,Chui Lockers,23.39,483,5.0,Delivered,4.0
KE-10336,CUST-5173,2025-10-04,Kisumu,Beauty,5926.0,Cash on Delivery,Home Delivery,DHL,19.62,783,7.0,Delivered,4.0
KE-10337,CUST-5257,2025-01-10,nairobi,FASHION,8537.0,M-Pesa,Smart Locker,Chui Lockers,20.65,173,2.0,Delivered,4.0
KE-10338,CUST-5131,2025-02-16,nairobi,Fashion & Apparel,3436.0,M-Pesa,Smart Locker,G4S,1.05,549,2.0,Delayed,1.0
KE-10339,CUST-5026,2025-04-14,Mombasa,Health & Wellness,4270.0,M-Pesa,Boda Boda Last-Mile,DHL,8.26,425,5.0,Cancelled,
KE-10340,CUST-5402,2025-03-06,Nairobi County,Home & Living,5165.0,Credit/Debit Card,Boda Boda Last-Mile,Sendy,0.13,785,999.0,Delayed,3.0
KE-10341,CUST-5306,2025-05-09,Kiambu,Fashion & Apparel,17222.0,M-Pesa,Boda Boda Last-Mile,DHL,4.39,719,4.0,Delivered,
KE-10342,CUST-5484,2025-06-25,Kajiado,Fashion & Apparel,11039.0,M-Pesa,Pickup Station,DHL,32.29,154,6.0,Returned,
KE-10343,CUST-5250,2025-07-21,Machakos,Home & Living,22507.0,COD,Smart Locker,Chui Lockers,6.28,158,3.0,Delivered,
KE-10344,CUST-5010,2025-05-24,Mombasa,Home & Living,24021.0,M-Pesa,Pickup Station,Sendy,6.94,555,3.0,Cancelled,2.0
KE-10345,CUST-5337,2025-10-17,nairobi,Fashion & Apparel,4675.0,Credit/Debit Card,Smart Locker,G4S,35kg,695,6.0,Delayed,
KE-10346,CUST-5344,2025-11-29,kiambu,Groceries,22787.0,M-Pesa,Pickup Station,Sendy,9.8,609,4.0,Cancelled,1.0
KE-10347,CUST-5377,2025-04-26,Nairobi County,Fashion & Apparel,,COD,Smart Locker,Wells Fargo,8.73,498,7.0,Delivered,5.0
KE-10348,CUST-5317,2025-08-13,Uasin Gishu,Electronics,12866.0,m-pesa,Boda Boda Last-Mile,Sendy,10.62,217,1.0,Delayed,4.0
KE-10349,CUST-5049,2025-11-13,Uasin Gishu,electrnics,13080.0,M-Pesa,Home Delivery,Chui Lockers,18.15,260,5.0,Delivered,5.0
KE-10350,CUST-5064,2025-11-23,Kisumu,Groceries,5011.0,COD,Smart Locker,Wells Fargo,20.47,299,3.0,Delivered,5.0
KE-10351,CUST-5300,2025-12-03,Nakuru,Home & Living,14330.0,m-pesa,Smart Locker,G4S,23.41,628,3.0,Delivered,5.0
KE-10352,CUST-5153,2025-08-03,Nairobi,Electronics,23215.0,Cash on Delivery,Boda Boda Last-Mile,G4S,14.07,156,1.0,Delivered,3.0
KE-10353,CUST-5225,2025-04-10,Kiambu,Electronics,9809.0,Cash on Delivery,Pickup Station,G4S,6.94,418,1.0,Returned,1.0
KE-10354,CUST-5173,2025-04-18,Kiambu,Home & Living,20921.0,m-pesa,Pickup Station,G4S,6.79,533,4.0,Delivered,5.0
KE-10355,CUST-5300,2025-04-07,nairobi,Electronics,9677.0,COD,Home Delivery,Chui Lockers,27.71,321,7.0,Delivered,4.0
KE-10356,CUST-5265,2025-08-26,Nakuru,Beauty,16024.0,Credit/Debit Card,Pickup Station,G4S,31.33,390,3.0,Delivered,3.0
KE-10357,CUST-5130,2025-10-09,Mombasa ,FASHION,1848.0,COD,Smart Locker,Chui Lockers,11.16,333,3.0,Delivered,3.0
KE-10358,CUST-5431,2025-09-14,Mombasa ,Electronics,"KSh 12,304",m-pesa,Smart Locker,Wells Fargo,10.66,431,5.0,Returned,
KE-10359,CUST-5278,,Mombasa ,FASHION,13732.0,M-Pesa,Pickup Station,Chui Lockers,8.04,364,5.0,Delayed,
